user_id,age,gender,region,registration_date
U0071,34,Female,Thailand,2026-03-10
U0072,53,Other,Japan,2025-06-08
U0073,30,Female,Singapore,2025-03-01
U0074,55,Other,Korea,2025-03-04
U0075,38,Male,Vietnam,2026-08-22
U0076,48,Other,Korea,2025-06-11
U0077,21,Other,Vietnam,2025-07-10
U0078,22,Other,Vietnam,2025-08-29
U0079,43,Male,Korea,2025-09-10
U0080,55,Other,Vietnam,2025-03-25
U0081,44,Other,Korea,2026-08-02
U0082,51,Female,Thailand,2025-07-29
U0083,60,Other,Thailand,2025-09-02
U0084,34,Female,Singapore,2025-11-04
U0085,47,Female,Vietnam,2025-01-10
U0086,47,Other,Korea,2025-04-13
U0087,22,Other,Singapore,2026-06-03
U0088,34,Male,Thailand,2025-03-12
U0089,33,Female,Thailand,2025-06-11
U0090,46,Other,Thailand,2026-06-26
U0091,18,Other,Korea,2025-11-03
U0092,60,Male,Singapore,2025-09-28
U0093,25,Male,Korea,2025-06-09
U0094,35,Female,Korea,2025-08-04
U0095,39,Male,Thailand,2026-06-02
U0096,49,Female,Vietnam,2025-04-05
U0097,58,Female,Thailand,2025-02-15
U0098,18,Female,Singapore,2025-09-26
U0099,28,Other,Japan,2026-07-19
U0100,45,Other,Vietnam,2025-04-25
U0101,22,Other,Singapore,2026-07-13
U0102,20,Female,Korea,2026-07-20
U0103,27,Female,Singapore,2025-02-12
U0104,37,Female,Vietnam,2026-01-02
U0105,31,Other,Singapore,2025-04-16
U0106,40,Other,Japan,2025-06-08
U0107,33,Male,Singapore,2026-02-27
U0108,19,Male,Thailand,2026-02-26
U0109,60,Other,Singapore,2025-10-01
U0110,28,Other,Vietnam,2026-01-27
U0111,20,Female,Singapore,2025-07-24
U0112,47,Female,Thailand,2025-08-22
U0113,32,Male,Singapore,2026-02-13
U0114,39,Female,Vietnam,2025-10-13
U0115,40,Other,Korea,2026-02-14
U0116,52,Female,Vietnam,2025-04-29
U0117,34,Male,Korea,2025-09-29
U0118,20,Male,Korea,2026-03-21
U0119,40,Other,Thailand,2026-03-23
U0120,56,Other,Vietnam,2026-01-30
U0121,54,Male,Thailand,2025-02-15
U0122,45,Male,Korea,2026-07-06
U0123,60,Male,Thailand,2026-03-18
U0124,22,Other,Thailand,2025-11-18
U0125,60,Male,Thailand,2026-06-04
U0126,37,Other,Japan,2025-12-01
U0127,43,Other,Thailand,2026-07-22
U0128,26,Male,Japan,2026-01-24
U0129,29,Other,Korea,2025-11-05
U0130,43,Other,Vietnam,2025-11-08
U0131,36,Male,Japan,2026-08-17
U0132,56,Other,Thailand,2026-04-22
U0133,46,Female,Singapore,2026-06-08
U0134,48,Other,Singapore,2025-03-28
U0135,36,Other,Korea,2025-12-10
U0136,23,Male,Thailand,2025-08-19
U0137,30,Male,Vietnam,2025-02-17
U0138,33,Female,Korea,2025-03-16
U0139,47,Female,Korea,2025-07-19
U0140,42,Female,Japan,2025-09-07
U0141,27,Other,Vietnam,2025-04-20
U0142,45,Male,Singapore,2026-06-15
U0143,47,Male,Korea,2025-09-13
U0144,25,Female,Singapore,2026-04-21
U0145,60,Other,Korea,2025-11-21
U0146,46,Other,Korea,2026-03-13
U0147,53,Female,Singapore,2026-05-02
U0148,46,Female,Singapore,2025-10-11
U0149,51,Female,Singapore,2025-10-09
U0150,46,Male,Thailand,2025-08-29
U0151,35,Female,Thailand,2026-07-08
U0152,23,Male,Singapore,2025-08-25
U0153,42,Other,Singapore,2025-08-08
U0154,22,Female,Japan,2025-12-05
U0155,52,Female,Japan,2025-03-05
U0156,31,Female,Japan,2026-08-22
U0157,19,Other,Japan,2026-05-04
U0158,18,Female,Thailand,2026-02-04
U0159,44,Other,Korea,2025-08-14
U0160,49,Male,Thailand,2026-03-23
U0161,49,Male,Japan,2025-12-11
U0162,60,Other,Japan,2025-06-19
U0163,47,Male,Korea,2026-07-01
U0164,19,Female,Korea,2026-08-01
U0165,60,Male,Vietnam,2026-03-15
U0166,26,Female,Singapore,2025-02-21
U0167,34,Female,Thailand,2025-08-05
U0168,47,Female,Thailand,2026-01-24
U0169,35,Female,Thailand,2025-03-25
U0170,48,Male,Korea,2025-02-23
U0171,40,Male,Vietnam,2025-02-11
U0172,19,Male,Singapore,2025-01-21
U0173,57,Male,Singapore,2025-05-10
U0174,48,Other,Vietnam,2026-08-01
U0175,31,Female,Thailand,2026-01-13
U0176,28,Other,Korea,2025-04-28
U0177,28,Female,Vietnam,2026-08-16
U0178,19,Female,Korea,2026-01-20
U0179,43,Other,Singapore,2025-03-19
U0180,55,Other,Singapore,2025-04-15
U0181,37,Other,Korea,2025-05-04
U0182,54,Male,Thailand,2026-06-30
U0183,45,Other,Thailand,2025-03-12
U0184,50,Other,Thailand,2025-01-13
U0185,44,Female,Vietnam,2026-03-20
U0186,41,Other,Japan,2025-06-06
U0187,45,Male,Korea,2025-10-04
U0188,57,Other,Japan,2026-04-22
U0189,45,Other,Korea,2025-10-02
U0190,38,Male,Vietnam,2025-10-13
U0191,46,Male,Japan,2026-08-07
U0192,57,Other,Japan,2025-12-11
U0193,19,Female,Thailand,2025-07-06
U0194,49,Male,Thailand,2025-09-22
U0195,39,Female,Korea,2025-10-10
U0196,53,Male,Korea,2025-07-15
U0197,23,Male,Japan,2026-05-16
U0198,53,Male,Japan,2026-05-18
U0199,46,Male,Vietnam,2025-10-29
U0200,32,Female,Singapore,2025-11-10
