watch_id,user_id,movie_id,watch_timestamp,watch_duration,device
W000046,U0154,M0018,2026-07-01 16:47:00,62,TV
W000047,U0078,M0044,2026-09-08 20:18:00,88,Web
W000048,U0031,M0029,2026-08-15 06:33:00,79,Tablet
W000049,U0045,M0002,2026-08-04 14:34:00,91,Web
W000050,U0019,M0008,2026-09-17 10:33:00,133,Mobile
W000051,U0112,M0077,2026-08-11 20:20:00,157,Tablet
W000052,U0147,M0007,2026-09-03 13:55:00,76,Tablet
W000053,U0075,M0086,2026-08-06 20:48:00,123,Tablet
W000054,U0177,M0009,2026-07-09 00:31:00,83,Tablet
W000055,U0028,M0065,2026-08-09 15:44:00,87,Tablet
W000056,U0080,M0002,2026-07-21 04:01:00,92,Web
W000057,U0200,M0027,2026-07-07 22:51:00,64,TV
W000058,U0199,M0007,2026-08-01 22:59:00,93,TV
W000059,U0061,M0002,2026-07-14 07:54:00,104,TV
W000060,U0195,M0098,2026-07-17 02:58:00,128,Tablet
W000061,U0119,M0010,2026-08-31 23:57:00,156,Web
W000062,U0161,M0002,2026-07-14 17:46:00,93,Tablet
W000063,U0018,M0009,2026-08-10 06:01:00,59,Mobile
W000064,U0091,M0014,2026-07-29 06:05:00,74,Tablet
W000065,U0116,M0051,2026-07-06 04:16:00,121,Mobile
W000066,U0158,M0011,2026-08-04 23:54:00,100,Tablet
W000067,U0149,M0077,2026-08-10 22:27:00,145,TV
W000068,U0083,M0012,2026-08-15 15:15:00,59,TV
W000069,U0016,M0011,2026-07-10 10:06:00,102,Mobile
W000070,U0130,M0029,2026-07-04 13:30:00,37,TV
W000071,U0182,M0005,2026-08-09 23:55:00,62,Web
W000072,U0096,M0085,2026-08-05 06:19:00,134,Tablet
W000073,U0199,M0002,2026-08-31 19:04:00,78,Web
W000074,U0017,M0009,2026-07-09 14:27:00,62,Tablet
W000075,U0073,M0070,2026-09-04 21:01:00,109,TV
W000076,U0086,M0048,2026-08-23 01:00:00,53,TV
W000077,U0090,M0094,2026-09-27 01:57:00,109,TV
W000078,U0153,M0035,2026-07-29 04:17:00,117,Tablet
W000079,U0165,M0009,2026-09-13 00:25:00,100,Mobile
W000080,U0166,M0009,2026-08-16 06:48:00,101,Web
W000081,U0005,M0009,2026-07-29 02:43:00,86,Tablet
W000082,U0050,M0056,2026-07-13 12:30:00,137,TV
W000083,U0020,M0092,2026-09-15 20:40:00,108,Mobile
W000084,U0170,M0008,2026-09-18 18:30:00,115,TV
W000085,U0153,M0004,2026-07-15 00:58:00,106,TV
W000086,U0185,M0012,2026-07-04 23:26:00,92,Tablet
W000087,U0094,M0062,2026-09-27 06:05:00,94,Tablet
W000088,U0060,M0063,2026-07-29 04:02:00,136,Tablet
W000089,U0050,M0005,2026-08-31 17:47:00,112,Tablet
W000090,U0197,M0080,2026-09-09 19:50:00,78,Tablet
W000091,U0129,M0002,2026-09-26 22:50:00,110,TV
W000092,U0065,M0023,2026-08-28 08:40:00,119,Tablet
W000093,U0096,M0039,2026-09-03 18:04:00,143,Web
W000094,U0022,M0023,2026-07-25 19:55:00,80,Tablet
W000095,U0132,M0016,2026-09-14 15:26:00,92,TV
W000096,U0116,M0002,2026-09-23 16:38:00,121,Mobile
W000097,U0107,M0011,2026-08-06 02:04:00,76,Mobile
W000098,U0096,M0055,2026-07-03 13:34:00,116,Web
W000099,U0026,M0007,2026-09-11 00:47:00,96,Tablet
W000100,U0179,M0007,2026-09-08 01:42:00,97,Tablet
W000101,U0115,M0021,2026-09-21 10:52:00,84,TV
W000102,U0141,M0004,2026-07-11 02:53:00,95,Web
W000103,U0061,M0090,2026-07-12 02:10:00,131,Tablet
W000104,U0017,M0069,2026-09-15 03:46:00,70,Tablet
W000105,U0153,M0067,2026-08-27 12:31:00,91,TV
W000106,U0075,M0012,2026-07-01 03:25:00,70,Web
W000107,U0062,M0006,2026-07-18 01:11:00,70,Web
W000108,U0018,M0087,2026-08-05 12:57:00,87,Tablet
W000109,U0012,M0003,2026-09-28 07:06:00,76,Web
W000110,U0018,M0005,2026-07-22 22:44:00,108,Mobile
W000111,U0198,M0006,2026-07-13 03:26:00,95,TV
W000112,U0200,M0006,2026-09-28 06:37:00,80,Tablet
W000113,U0162,M0034,2026-09-12 20:44:00,141,Tablet
W000114,U0010,M0086,2026-07-19 08:22:00,129,Mobile
W000115,U0052,M0079,2026-07-29 17:25:00,116,Tablet
W000116,U0065,M0055,2026-09-07 13:35:00,107,TV
W000117,U0074,M0011,2026-09-17 11:22:00,96,Web
W000118,U0070,M0004,2026-09-11 18:11:00,53,Web
W000119,U0112,M0009,2026-09-06 15:46:00,39,Web
W000120,U0048,M0011,2026-09-01 23:50:00,106,Tablet
W000121,U0095,M0077,2026-09-11 22:08:00,142,Tablet
W000122,U0155,M0033,2026-08-19 15:36:00,83,Web
W000123,U0083,M0039,2026-07-08 06:54:00,116,Tablet
W000124,U0155,M0011,2026-07-16 04:02:00,102,Tablet
W000125,U0090,M0004,2026-07-04 20:31:00,83,Tablet
W000126,U0071,M0047,2026-07-07 19:55:00,91,Tablet
W000127,U0094,M0022,2026-09-25 17:24:00,153,Tablet
W000128,U0009,M0098,2026-07-07 02:52:00,123,TV
W000129,U0200,M0004,2026-08-02 23:07:00,71,TV
W000130,U0174,M0011,2026-09-25 08:44:00,105,Web
W000131,U0096,M0008,2026-09-08 10:59:00,145,Web
W000132,U0102,M0096,2026-08-29 02:59:00,142,Web
W000133,U0064,M0051,2026-07-03 08:36:00,129,Tablet
W000134,U0144,M0068,2026-07-24 19:51:00,101,Web
W000135,U0181,M0009,2026-07-20 12:44:00,95,Tablet
W000136,U0052,M0003,2026-07-13 08:30:00,97,Mobile
W000137,U0116,M0024,2026-09-20 19:11:00,91,Web
W000138,U0171,M0001,2026-09-03 14:00:00,48,Mobile
W000139,U0141,M0084,2026-09-20 03:08:00,87,TV
W000140,U0093,M0055,2026-07-12 01:07:00,126,TV
W000141,U0036,M0057,2026-09-10 22:35:00,71,Web
W000142,U0120,M0007,2026-08-25 16:49:00,94,Mobile
W000143,U0017,M0099,2026-08-06 05:47:00,116,Tablet
W000144,U0197,M0009,2026-09-13 22:36:00,81,Mobile
W000145,U0033,M0003,2026-08-28 11:12:00,115,Web
W000146,U0033,M0034,2026-09-08 21:14:00,131,TV
W000147,U0111,M0040,2026-09-14 16:12:00,145,TV
W000148,U0042,M0006,2026-09-24 01:57:00,81,TV
W000149,U0089,M0081,2026-09-15 23:58:00,139,Web
W000150,U0033,M0096,2026-08-25 22:14:00,143,Mobile
W000151,U0129,M0022,2026-08-23 20:49:00,129,Web
W000152,U0145,M0077,2026-09-14 02:45:00,121,Mobile
W000153,U0021,M0084,2026-09-25 08:07:00,75,TV
W000154,U0197,M0001,2026-08-26 06:16:00,90,Mobile
W000155,U0128,M0084,2026-08-28 10:16:00,110,Tablet
W000156,U0077,M0008,2026-07-07 15:24:00,130,Mobile
W000157,U0041,M0006,2026-08-07 19:56:00,61,TV
W000158,U0081,M0099,2026-09-05 19:53:00,91,Web
W000159,U0103,M0002,2026-09-08 05:41:00,88,Web
W000160,U0062,M0007,2026-07-12 03:39:00,110,Web
W000161,U0116,M0062,2026-07-13 19:45:00,120,Tablet
W000162,U0158,M0002,2026-07-23 14:21:00,113,TV
W000163,U0084,M0096,2026-07-18 06:41:00,139,Tablet
W000164,U0128,M0093,2026-08-15 06:31:00,60,Mobile
W000165,U0024,M0006,2026-08-16 00:09:00,61,Web
W000166,U0013,M0098,2026-07-26 14:37:00,120,Tablet
W000167,U0153,M0004,2026-07-27 00:13:00,54,Tablet
W000168,U0035,M0076,2026-09-05 05:15:00,112,Web
W000169,U0196,M0006,2026-08-03 07:24:00,79,TV
W000170,U0093,M0088,2026-07-07 16:37:00,96,Tablet
W000171,U0130,M0011,2026-09-08 13:51:00,57,Mobile
W000172,U0033,M0013,2026-08-05 20:29:00,80,Web
W000173,U0087,M0011,2026-09-07 17:14:00,104,Tablet
W000174,U0129,M0060,2026-07-05 02:58:00,140,Mobile
W000175,U0036,M0006,2026-09-12 04:17:00,54,TV
W000176,U0084,M0099,2026-07-15 18:59:00,93,Tablet
W000177,U0158,M0089,2026-08-24 01:00:00,121,Tablet
W000178,U0182,M0094,2026-08-13 05:25:00,152,Mobile
W000179,U0095,M0010,2026-08-31 07:57:00,150,Web
W000180,U0186,M0004,2026-08-24 07:58:00,100,Tablet
W000181,U0068,M0057,2026-09-04 15:55:00,108,Tablet
W000182,U0038,M0065,2026-07-03 20:58:00,112,Mobile
W000183,U0049,M0073,2026-08-10 03:27:00,134,TV
W000184,U0106,M0010,2026-09-18 10:41:00,145,Mobile
W000185,U0181,M0011,2026-08-17 05:04:00,93,Tablet
W000186,U0135,M0009,2026-07-29 13:24:00,96,TV
W000187,U0118,M0004,2026-08-19 17:21:00,70,Web
W000188,U0157,M0004,2026-07-18 12:00:00,113,TV
W000189,U0072,M0088,2026-07-21 11:13:00,121,Web
W000190,U0181,M0047,2026-09-01 19:51:00,112,Tablet
W000191,U0082,M0009,2026-08-01 17:58:00,42,Web
W000192,U0074,M0003,2026-08-22 04:46:00,81,Tablet
W000193,U0102,M0012,2026-09-25 21:22:00,73,Mobile
W000194,U0074,M0039,2026-08-01 12:38:00,113,Tablet
W000195,U0168,M0067,2026-09-07 00:35:00,93,Web
W000196,U0144,M0075,2026-07-13 11:52:00,91,Mobile
W000197,U0158,M0058,2026-07-23 01:39:00,89,TV
W000198,U0164,M0060,2026-07-05 18:40:00,133,Mobile
W000199,U0106,M0010,2026-09-04 07:05:00,108,TV
W000200,U0002,M0016,2026-08-07 00:54:00,137,Tablet
W000201,U0123,M0043,2026-09-07 19:18:00,93,Mobile
W000202,U0197,M0049,2026-08-29 08:58:00,81,TV
W000203,U0137,M0049,2026-09-22 02:58:00,101,TV
W000204,U0010,M0003,2026-09-10 17:19:00,88,Tablet
W000205,U0048,M0089,2026-09-18 19:16:00,153,Mobile
W000206,U0086,M0086,2026-08-11 08:32:00,111,Tablet
W000207,U0035,M0008,2026-07-25 20:01:00,139,TV
W000208,U0188,M0010,2026-08-29 00:12:00,143,Web
W000209,U0184,M0036,2026-07-02 06:46:00,104,TV
W000210,U0045,M0007,2026-09-14 06:35:00,61,Tablet
W000211,U0132,M0008,2026-07-08 21:28:00,129,TV
W000212,U0123,M0006,2026-09-24 04:20:00,78,TV
W000213,U0002,M0069,2026-08-04 21:55:00,67,Web
W000214,U0078,M0042,2026-07-24 19:22:00,113,Web
W000215,U0178,M0061,2026-07-06 15:42:00,96,TV
W000216,U0104,M0100,2026-09-01 19:57:00,114,Mobile
W000217,U0164,M0092,2026-08-03 10:54:00,93,TV
W000218,U0123,M0019,2026-08-11 09:54:00,123,Web
W000219,U0107,M0005,2026-09-07 22:27:00,61,TV
W000220,U0196,M0062,2026-08-31 22:13:00,102,Mobile
W000221,U0135,M0009,2026-08-18 01:48:00,79,Mobile
W000222,U0016,M0044,2026-08-22 03:05:00,72,TV
W000223,U0043,M0008,2026-09-16 18:39:00,127,TV
W000224,U0184,M0007,2026-07-09 06:39:00,92,Tablet
W000225,U0015,M0001,2026-07-13 00:14:00,89,Mobile
W000226,U0144,M0012,2026-08-31 05:41:00,70,Web
W000227,U0186,M0092,2026-08-06 00:57:00,102,TV
W000228,U0149,M0013,2026-07-05 02:56:00,92,Tablet
W000229,U0089,M0049,2026-08-19 06:11:00,109,Mobile
W000230,U0121,M0039,2026-07-27 03:09:00,121,Tablet
W000231,U0047,M0005,2026-09-08 16:58:00,69,Tablet
W000232,U0096,M0012,2026-08-10 19:50:00,49,Tablet
W000233,U0097,M0019,2026-09-01 03:26:00,167,TV
W000234,U0168,M0002,2026-07-11 19:09:00,96,TV
W000235,U0138,M0001,2026-08-18 03:16:00,140,Mobile
W000236,U0194,M0095,2026-09-28 01:32:00,160,Web
W000237,U0119,M0010,2026-08-18 10:01:00,126,Tablet
W000238,U0089,M0015,2026-07-26 02:09:00,100,TV
W000239,U0186,M0044,2026-07-03 22:22:00,86,Mobile
W000240,U0062,M0046,2026-07-07 02:59:00,85,Mobile
W000241,U0153,M0035,2026-08-10 15:15:00,116,Mobile
W000242,U0063,M0073,2026-08-06 14:45:00,121,Tablet
W000243,U0060,M0052,2026-09-07 15:58:00,73,Web
W000244,U0060,M0004,2026-08-22 13:30:00,84,Web
W000245,U0061,M0090,2026-09-18 18:12:00,129,TV
W000246,U0106,M0094,2026-07-26 01:04:00,144,Mobile
W000247,U0143,M0025,2026-08-26 23:30:00,70,Mobile
W000248,U0089,M0007,2026-09-10 12:36:00,72,Web
W000249,U0179,M0001,2026-08-07 03:51:00,119,Tablet
W000250,U0062,M0056,2026-07-28 08:58:00,140,TV
W000251,U0119,M0046,2026-08-21 04:33:00,87,TV
W000252,U0100,M0060,2026-07-24 05:02:00,131,TV
W000253,U0085,M0010,2026-09-22 22:38:00,119,TV
W000254,U0014,M0073,2026-08-04 07:56:00,143,Mobile
W000255,U0019,M0037,2026-09-12 05:47:00,94,TV
W000256,U0123,M0047,2026-09-18 03:23:00,102,Web
W000257,U0078,M0058,2026-07-20 06:42:00,89,Mobile
W000258,U0192,M0002,2026-09-22 05:37:00,86,TV
W000259,U0179,M0040,2026-08-06 02:27:00,157,Web
W000260,U0098,M0002,2026-08-18 13:46:00,92,Web
W000261,U0079,M0069,2026-08-02 17:39:00,43,Mobile
W000262,U0185,M0004,2026-09-08 07:48:00,87,Web
W000263,U0053,M0006,2026-07-29 11:35:00,54,TV
W000264,U0190,M0010,2026-07-02 11:25:00,147,Web
W000265,U0142,M0006,2026-07-27 20:51:00,83,Tablet
W000266,U0146,M0061,2026-08-15 10:44:00,119,Web
W000267,U0066,M0002,2026-09-26 23:22:00,99,Tablet
W000268,U0044,M0004,2026-07-16 09:45:00,59,TV
W000269,U0185,M0002,2026-07-17 18:03:00,124,Mobile
W000270,U0135,M0047,2026-09-15 08:58:00,119,Mobile
W000271,U0172,M0092,2026-09-08 13:43:00,112,TV
W000272,U0018,M0018,2026-07-01 19:58:00,67,TV
W000273,U0130,M0002,2026-08-03 23:16:00,128,Tablet
W000274,U0169,M0006,2026-07-02 10:21:00,83,Mobile
W000275,U0137,M0010,2026-07-02 01:53:00,164,Web
W000276,U0005,M0009,2026-09-13 00:22:00,84,Tablet
W000277,U0046,M0055,2026-09-22 13:30:00,124,TV
W000278,U0159,M0065,2026-09-13 04:51:00,111,Web
W000279,U0069,M0008,2026-07-08 04:37:00,123,TV
W000280,U0179,M0051,2026-07-28 07:18:00,144,Mobile
W000281,U0168,M0026,2026-07-09 12:15:00,72,Tablet
W000282,U0015,M0040,2026-09-02 23:23:00,147,TV
W000283,U0022,M0012,2026-09-15 22:39:00,42,Mobile
W000284,U0136,M0077,2026-07-21 21:55:00,138,TV
W000285,U0178,M0012,2026-07-25 16:12:00,78,Web
W000286,U0140,M0037,2026-07-17 07:48:00,94,Web
W000287,U0005,M0042,2026-08-23 10:23:00,108,Tablet
W000288,U0020,M0094,2026-07-15 18:52:00,150,TV
W000289,U0146,M0011,2026-08-31 15:00:00,102,TV
W000290,U0177,M0009,2026-08-15 13:59:00,71,Web
W000291,U0014,M0091,2026-08-09 18:50:00,128,Tablet
W000292,U0199,M0008,2026-07-03 16:43:00,143,Web
W000293,U0116,M0003,2026-07-21 18:22:00,71,Tablet
W000294,U0048,M0011,2026-07-08 19:12:00,115,Web
W000295,U0064,M0091,2026-07-08 11:12:00,125,TV
W000296,U0190,M0011,2026-07-29 19:47:00,107,Web
W000297,U0028,M0085,2026-07-01 11:20:00,156,Web
W000298,U0027,M0003,2026-07-08 22:42:00,90,TV
W000299,U0111,M0010,2026-08-20 16:45:00,118,Mobile
W000300,U0023,M0005,2026-08-20 10:42:00,81,Mobile
W000301,U0153,M0002,2026-09-17 14:49:00,93,Tablet
W000302,U0200,M0064,2026-09-04 23:26:00,98,TV
W000303,U0147,M0022,2026-09-01 09:05:00,112,Web
W000304,U0069,M0009,2026-07-14 06:47:00,87,Mobile
W000305,U0043,M0003,2026-07-26 02:50:00,79,Mobile
W000306,U0093,M0069,2026-09-24 22:41:00,74,TV
W000307,U0185,M0005,2026-08-24 01:11:00,72,TV
W000308,U0078,M0026,2026-09-25 08:44:00,74,Tablet
W000309,U0086,M0011,2026-09-12 04:31:00,102,Tablet
W000310,U0167,M0010,2026-07-28 08:18:00,120,Web
W000311,U0155,M0043,2026-08-13 14:24:00,59,Web
W000312,U0075,M0008,2026-09-27 02:06:00,175,TV
W000313,U0084,M0004,2026-07-26 12:19:00,96,Mobile
W000314,U0145,M0043,2026-08-23 21:44:00,61,TV
W000315,U0175,M0002,2026-09-25 17:52:00,98,TV
W000316,U0113,M0085,2026-09-14 15:57:00,95,Mobile
W000317,U0105,M0007,2026-07-13 16:02:00,84,TV
W000318,U0184,M0009,2026-09-10 19:45:00,71,Tablet
W000319,U0019,M0010,2026-08-24 10:12:00,117,Tablet
W000320,U0140,M0053,2026-09-10 23:21:00,90,Web
W000321,U0180,M0064,2026-07-10 22:55:00,92,Web
W000322,U0043,M0086,2026-08-21 06:22:00,81,Tablet
W000323,U0193,M0010,2026-09-26 21:38:00,138,Mobile
W000324,U0067,M0049,2026-08-16 11:35:00,76,TV
W000325,U0115,M0008,2026-08-05 14:26:00,110,TV
W000326,U0089,M0097,2026-08-13 22:37:00,88,Mobile
W000327,U0076,M0005,2026-09-22 18:58:00,96,TV
W000328,U0090,M0095,2026-08-01 05:26:00,122,Tablet
W000329,U0053,M0004,2026-08-01 16:52:00,69,Tablet
W000330,U0082,M0066,2026-07-28 07:56:00,124,Mobile
W000331,U0182,M0085,2026-07-03 01:20:00,153,TV
W000332,U0190,M0060,2026-08-16 23:12:00,100,TV
W000333,U0142,M0022,2026-07-31 03:03:00,77,TV
W000334,U0104,M0035,2026-07-17 23:10:00,122,Tablet
W000335,U0102,M0011,2026-09-06 02:50:00,80,Tablet
W000336,U0100,M0019,2026-09-03 03:31:00,123,TV
W000337,U0053,M0083,2026-09-07 11:28:00,93,Mobile
W000338,U0138,M0031,2026-08-03 07:05:00,87,Web
W000339,U0051,M0003,2026-07-11 08:56:00,94,Web
W000340,U0153,M0010,2026-08-25 15:25:00,171,Tablet
W000341,U0151,M0049,2026-08-01 16:03:00,73,TV
W000342,U0173,M0093,2026-09-22 14:53:00,97,Mobile
W000343,U0173,M0009,2026-07-29 12:09:00,92,TV
W000344,U0096,M0013,2026-08-16 11:54:00,101,Tablet
W000345,U0108,M0006,2026-08-22 07:40:00,65,TV
W000346,U0143,M0021,2026-08-14 13:38:00,80,Web
W000347,U0036,M0031,2026-07-29 15:12:00,132,Web
W000348,U0003,M0012,2026-07-13 10:15:00,50,TV
W000349,U0099,M0010,2026-08-07 05:46:00,128,Tablet
W000350,U0126,M0026,2026-07-08 12:35:00,70,Mobile
W000351,U0195,M0048,2026-07-27 14:04:00,103,Web
W000352,U0044,M0010,2026-08-21 11:40:00,138,Tablet
W000353,U0141,M0044,2026-08-22 03:06:00,102,Web
W000354,U0139,M0080,2026-09-08 04:15:00,115,Tablet
W000355,U0140,M0052,2026-08-08 16:45:00,89,TV
W000356,U0077,M0025,2026-08-10 22:27:00,100,Web
W000357,U0090,M0041,2026-08-09 23:09:00,130,TV
W000358,U0054,M0003,2026-09-17 08:59:00,90,Tablet
W000359,U0043,M0012,2026-09-10 10:31:00,75,Mobile
W000360,U0146,M0003,2026-08-18 10:47:00,109,Web
W000361,U0153,M0022,2026-07-30 11:01:00,134,Web
W000362,U0132,M0005,2026-07-13 08:11:00,85,Tablet
W000363,U0016,M0082,2026-09-17 22:05:00,62,TV
W000364,U0064,M0010,2026-09-03 18:03:00,112,Web
W000365,U0064,M0001,2026-08-14 13:14:00,125,Tablet
W000366,U0097,M0007,2026-07-07 20:58:00,113,Mobile
W000367,U0104,M0083,2026-09-02 05:36:00,118,Tablet
W000368,U0084,M0010,2026-09-18 02:09:00,128,Mobile
W000369,U0188,M0010,2026-08-27 18:49:00,127,Mobile
W000370,U0137,M0003,2026-07-20 19:51:00,82,Tablet
W000371,U0055,M0010,2026-07-25 10:37:00,129,TV
W000372,U0145,M0005,2026-09-10 18:04:00,100,Web
W000373,U0175,M0090,2026-07-05 04:21:00,138,Tablet
W000374,U0005,M0091,2026-09-23 14:22:00,146,TV
W000375,U0113,M0009,2026-07-01 01:28:00,100,TV
W000376,U0167,M0095,2026-07-15 11:17:00,123,Web
W000377,U0024,M0001,2026-07-23 18:59:00,132,TV
W000378,U0014,M0002,2026-08-26 22:39:00,117,Web
W000379,U0186,M0055,2026-08-09 01:40:00,100,Mobile
W000380,U0055,M0001,2026-07-08 02:15:00,85,TV
W000381,U0152,M0056,2026-08-17 06:44:00,125,Web
W000382,U0031,M0009,2026-09-02 04:08:00,78,TV
W000383,U0123,M0008,2026-07-21 20:08:00,114,Mobile
W000384,U0027,M0096,2026-08-03 10:57:00,157,Web
W000385,U0036,M0007,2026-09-09 09:39:00,107,TV
W000386,U0018,M0039,2026-08-25 13:15:00,89,TV
W000387,U0113,M0003,2026-09-04 18:10:00,104,Tablet
W000388,U0158,M0002,2026-09-17 06:37:00,133,TV
W000389,U0023,M0099,2026-07-13 17:51:00,90,Tablet
W000390,U0090,M0007,2026-07-29 15:02:00,69,TV
W000391,U0064,M0077,2026-08-28 16:11:00,145,Web
W000392,U0200,M0016,2026-09-16 04:14:00,144,Web
W000393,U0053,M0037,2026-09-07 01:41:00,71,TV
W000394,U0127,M0002,2026-07-11 06:17:00,120,TV
W000395,U0128,M0082,2026-08-18 02:03:00,80,Web
W000396,U0082,M0003,2026-08-05 05:03:00,95,Tablet
W000397,U0094,M0029,2026-09-08 10:12:00,17,Mobile
W000398,U0005,M0067,2026-07-02 06:07:00,114,Web
W000399,U0056,M0057,2026-09-22 23:24:00,114,Web
W000400,U0161,M0005,2026-08-08 13:18:00,99,Tablet
W000401,U0022,M0019,2026-07-26 06:08:00,138,TV
W000402,U0040,M0008,2026-08-05 13:33:00,140,Mobile
W000403,U0080,M0004,2026-09-05 10:37:00,101,TV
W000404,U0023,M0010,2026-07-11 13:22:00,131,Tablet
W000405,U0157,M0039,2026-07-29 03:39:00,109,TV
W000406,U0031,M0053,2026-09-03 10:25:00,65,TV
W000407,U0180,M0048,2026-07-15 21:53:00,74,Web
W000408,U0043,M0007,2026-07-12 13:17:00,93,Web
W000409,U0188,M0065,2026-09-09 05:12:00,119,Tablet
W000410,U0070,M0070,2026-07-24 22:25:00,75,Mobile
W000411,U0128,M0009,2026-08-16 11:49:00,67,TV
W000412,U0095,M0021,2026-07-24 05:18:00,88,Mobile
W000413,U0147,M0058,2026-07-21 18:57:00,69,Mobile
W000414,U0063,M0081,2026-08-12 22:35:00,127,Web
W000415,U0099,M0017,2026-07-17 06:56:00,115,Tablet
W000416,U0058,M0005,2026-07-23 14:20:00,72,Tablet
W000417,U0185,M0099,2026-07-25 16:34:00,101,Mobile
W000418,U0129,M0004,2026-07-17 07:47:00,68,TV
W000419,U0133,M0093,2026-09-25 20:13:00,51,Web
W000420,U0199,M0100,2026-07-30 18:59:00,153,Mobile
W000421,U0142,M0002,2026-07-01 17:24:00,94,Web
W000422,U0190,M0060,2026-08-12 05:27:00,132,Web
W000423,U0152,M0009,2026-09-09 07:47:00,85,TV
W000424,U0039,M0030,2026-09-23 20:51:00,48,Tablet
W000425,U0007,M0055,2026-08-19 07:01:00,96,Mobile
W000426,U0086,M0008,2026-09-08 01:54:00,164,Tablet
W000427,U0189,M0098,2026-07-10 11:04:00,131,Tablet
W000428,U0126,M0055,2026-09-27 12:35:00,149,TV
W000429,U0183,M0084,2026-07-09 11:13:00,103,Tablet
W000430,U0180,M0007,2026-08-11 17:31:00,97,Mobile
W000431,U0149,M0005,2026-08-16 00:07:00,109,Mobile
W000432,U0152,M0062,2026-08-09 14:14:00,133,TV
W000433,U0061,M0085,2026-07-24 18:08:00,162,Tablet
W000434,U0180,M0008,2026-07-29 22:48:00,103,Tablet
W000435,U0070,M0060,2026-07-07 19:09:00,130,Mobile
W000436,U0040,M0054,2026-07-15 23:04:00,101,Tablet
W000437,U0120,M0001,2026-08-07 00:02:00,121,TV
W000438,U0116,M0093,2026-08-12 04:11:00,92,Web
W000439,U0031,M0085,2026-07-15 08:18:00,143,Mobile
W000440,U0056,M0003,2026-07-14 12:01:00,83,Mobile
W000441,U0183,M0068,2026-09-27 03:30:00,109,Web
W000442,U0067,M0025,2026-07-03 19:53:00,97,Tablet
W000443,U0116,M0063,2026-07-09 14:55:00,100,TV
W000444,U0032,M0049,2026-07-06 14:43:00,92,TV
W000445,U0034,M0042,2026-09-13 23:20:00,65,Mobile
W000446,U0150,M0073,2026-09-22 12:09:00,154,Mobile
W000447,U0006,M0077,2026-07-18 23:59:00,141,TV
W000448,U0024,M0010,2026-07-12 03:39:00,124,Mobile
W000449,U0119,M0014,2026-07-16 06:58:00,115,Tablet
